"filename", "language", "XML", "Java", "Batch", "Markdown", "Java Properties", "YAML", "comment", "blank", "total"
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\view\CentralMouseHandler.java", "Java", 0, 379, 0, 0, 0, 0, 32, 61, 472
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\view\InsectView.java", "Java", 0, 37, 0, 0, 0, 0, 3, 14, 54
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\view\MainMenu.java", "Java", 0, 322, 0, 0, 0, 0, 28, 55, 405
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\view\MyceliumView.java", "Java", 0, 102, 0, 0, 0, 0, 6, 26, 134
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\view\SporeView.java", "Java", 0, 35, 0, 0, 0, 0, 3, 9, 47
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\view\TektonView.java", "Java", 0, 95, 0, 0, 0, 0, 8, 25, 128
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\view\TextureProvider.java", "Java", 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\test\java\hu\bme\core\TestTicker.java", "Java", 0, 72, 0, 0, 0, 0, 2, 23, 97
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\test\java\hu\bme\fungi\TestHyphae.java", "Java", 0, 181, 0, 0, 0, 0, 0, 64, 245
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\test\java\hu\bme\fungi\TestMycelium.java", "Java", 0, 38, 0, 0, 0, 0, 0, 10, 48
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\test\java\hu\bme\fungi\spore\TestSpore.java", "Java", 0, 19, 0, 0, 0, 0, 0, 12, 31
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\test\java\hu\bme\tekton\TestTekton.java", "Java", 0, 129, 0, 0, 0, 0, 0, 45, 174
"Total", "-", 52, 3267, 108, 1, 3, 19, 1176, 913, 5539
